REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
sentence_list_z6jjn2 	 talks_about 	 Lower the front of the shelf so that the shelf hooks drop into the slots.
sentence_list_z6jjn2 	 talks_about 	 Make sure that shelves are level from one side to the other.
sentence_list_z6jjn2 	 talks_about 	 Failure to do so may result in the shelf falling or spilled food.
Pull the shelf out. 	 paraphrase 	 the shelf should be pulled out
the shelf should be pulled out 	 talks_about 	 the shelf
Lower the front of the shelf so that the shelf hooks drop into the slots. 	 talks_about 	 the shelf hooks drop into the slots
Lower the front of the shelf so that the shelf hooks drop into the slots. 	 talks_about 	 Lower the front of the shelf
Lower the front of the shelf 	 Result 	 the shelf hooks drop into the slots
the shelf hooks drop into the slots 	 Reason 	 Lower the front of the shelf
Make sure that shelves are level from one side to the other. 	 talks_about 	 shelves are level from one side to the other
Make sure that shelves are level from one side to the other. 	 talks_about 	 Make sure
Make sure 	 that 	 shelves are level from one side to the other
Lower the front of the shelf 	 paraphrase 	 the front of the shelf should be lowered
Failure to do so may result in the shelf falling or spilled food. 	 talks_about 	 Failure to do so
Failure to do so may result in the shelf falling or spilled food. 	 talks_about 	 the shelf falling or spilled food
Failure to do so 	 may_result_in 	 the shelf falling or spilled food
the shelf falling or spilled food 	 may_result_in_reverse 	 Failure to do so
the shelf hooks drop into the slots 	 talks_about 	 the shelf
the shelf hooks drop into the slots 	 talks_about 	 the slots
the shelf 	 hooks_drop_into 	 the slots
the slots 	 hooks_drop_into_reverse 	 the shelf
shelves are level from one side to the other 	 talks_about 	 shelves
shelves are level from one side to the other 	 talks_about 	 level from one side to the other
shelves 	 are 	 level from one side to the other
level from one side to the other 	 are_reverse 	 shelves
sentence_list_vyk05g 	 talks_about 	 Door-in-Door is only available on some models.
sentence_list_vyk05g 	 talks_about 	 The Door-in-Door compartment allows for easy access to commonly used food items.
Door-in-Door is only available on some models. 	 talks_about 	 Door-in-Door
Door-in-Door is only available on some models. 	 talks_about 	 some models
Door-in-Door is only available on some models. 	 talks_about 	 only available
Door-in-Door 	 is_only_available_on 	 some models
some models 	 is_only_available_on_reverse 	 Door-in-Door
only available 	 is_reverse 	 Door-in-Door
Door-in-Door 	 is 	 only available
The Door-in-Door compartment allows for easy access to commonly used food items. 	 talks_about 	 The Door-in-Door compartment
The Door-in-Door compartment allows for easy access to commonly used food items. 	 talks_about 	 easy access to commonly used food items
The Door-in-Door compartment 	 allows_for 	 easy access to commonly used food items
easy access to commonly used food items 	 allows_for_reverse 	 The Door-in-Door compartment
sentence_list_8jbc0w 	 talks_about 	 To access Door-in-Door Compartment, lightly press the button on the right refrigerator door handle.
To access Door-in-Door Compartment, lightly press the button on the right refrigerator door handle. 	 talks_about 	 Door-in-Door Compartment
To access Door-in-Door Compartment, lightly press the button on the right refrigerator door handle. 	 talks_about 	 lightly press the button on the right refrigerator door handle
Door-in-Door Compartment 	 should_be_accessed_by 	 lightly press the button on the right refrigerator door handle
sentence_list_80bh6h 	 talks_about 	 The Door-in-Door inner and outer door bins are removable for easy cleaning.
The Door-in-Door inner and outer door bins are removable for easy cleaning. 	 talks_about 	 The Door-in-Door outer door bins
The Door-in-Door inner and outer door bins are removable for easy cleaning. 	 talks_about 	 removable for easy cleaning
The Door-in-Door inner and outer door bins are removable for easy cleaning. 	 talks_about 	 The Door-in-Door inner door bins
The Door-in-Door outer door bins 	 are 	 removable for easy cleaning
The Door-in-Door inner door bins 	 are 	 removable for easy cleaning
removable for easy cleaning 	 are_reverse 	 The Door-in-Door outer door bins
removable for easy cleaning 	 are_reverse 	 The Door-in-Door inner door bins
sentence_list_zh2o8x 	 talks_about 	 To remove the door bins, lift up and pull out.
To remove the door bins, lift up and pull out. 	 talks_about 	 the door bins
To remove the door bins, lift up and pull out. 	 talks_about 	 lift up and pull out
the door bins 	 should_be_removed_by 	 lift up and pull out
sentence_list_zh2o8x 	 talks_about 	 To replace the door bins, slide the door bin in above the desired support and push down until the door bin snaps into place.
To replace the door bins, slide the door bin in above the desired support and push down until the door bin snaps into place. 	 talks_about 	 the door bins
To replace the door bins, slide the door bin in above the desired support and push down until the door bin snaps into place. 	 talks_about 	 slide the door bin in above the desired support and push down until the door bin snaps into place
the door bins 	 should_be_replaced_by 	 slide the door bin in above the desired support and push down until the door bin snaps into place
sentence_list_86ictb 	 talks_about 	 To open the Door-in-Door case, press on the area marked Pull to open.
To open the Door-in-Door case, press on the area marked Pull to open. 	 talks_about 	 the Door-in-Door case
To open the Door-in-Door case, press on the area marked Pull to open. 	 talks_about 	 press on the area marked Pull to open
the Door-in-Door case 	 should_be_opened_by 	 press on the area marked Pull to open
sentence_list_86ictb 	 talks_about 	 the Door-in-Door case is removable for easy cleaning and adjustment.
the Door-in-Door case is removable for easy cleaning and adjustment. 	 talks_about 	 the Door-in-Door case
the Door-in-Door case is removable for easy cleaning and adjustment. 	 talks_about 	 removable for easy cleaning
the Door-in-Door case is removable for easy cleaning and adjustment. 	 talks_about 	 removable for easy adjustment
the Door-in-Door case 	 is 	 removable for easy cleaning
the Door-in-Door case 	 is 	 removable for easy adjustment
removable for easy cleaning 	 is_reverse 	 the Door-in-Door case
removable for easy adjustment 	 is_reverse 	 the Door-in-Door case
sentence_list_gnnybz 	 talks_about 	 To remove the case, lift up and pull out.
To remove the case, lift up and pull out. 	 talks_about 	 the case
To remove the case, lift up and pull out. 	 talks_about 	 lift up and pull out
the case 	 should_be_removed_by 	 lift up and pull out
sentence_list_gnnybz 	 talks_about 	 To replace the case, line up the tabs on the case with the slots on the door and push down until the case snaps into place.
To replace the case, line up the tabs on the case with the slots on the door and push down until the case snaps into place. 	 talks_about 	 the case
To replace the case, line up the tabs on the case with the slots on the door and push down until the case snaps into place. 	 talks_about 	 line up the tabs on the case with the slots on the door and push down until the case snaps into place
the case 	 should_be_replaced_by 	 line up the tabs on the case with the slots on the door and push down until the case snaps into place
sentence_list_eb2gxt 	 talks_about 	 The door bins are removable for easy cleaning and adjustment.
The door bins are removable for easy cleaning and adjustment. 	 talks_about 	 The door bins
The door bins are removable for easy cleaning and adjustment. 	 talks_about 	 removable for easy cleaning
The door bins are removable for easy cleaning and adjustment. 	 talks_about 	 removable for easy adjustment
The door bins 	 are 	 removable for easy cleaning
removable for easy adjustment 	 are_reverse 	 The door bins
removable for easy cleaning 	 are_reverse 	 The door bins
The door bins 	 are 	 removable for easy adjustment
sentence_list_tw7jtj 	 talks_about 	 To remove Door Bin, simply lift Door Bin up and pull straight out.
To remove Door Bin, simply lift Door Bin up and pull straight out. 	 talks_about 	 Door Bin
To remove Door Bin, simply lift Door Bin up and pull straight out. 	 talks_about 	 simply lift Door Bin up and pull straight out
Door Bin 	 should_be_removed_by 	 simply lift Door Bin up and pull straight out
sentence_list_tw7jtj 	 talks_about 	 To assemble Door Bin, slide Door Bin in above the desired support and push down until Door Bin snaps into place.
To assemble Door Bin, slide Door Bin in above the desired support and push down until Door Bin snaps into place. 	 talks_about 	 Door Bin
To assemble Door Bin, slide Door Bin in above the desired support and push down until Door Bin snaps into place. 	 talks_about 	 slide Door Bin in above the desired support and push down until Door Bin snaps into place
Door Bin 	 should_be_assembled_by 	 slide Door Bin in above the desired support and push down until Door Bin snaps into place
sentence_list_t1n1l4 	 talks_about 	 Regularly detach and wash the storage bins and shelves; the storage bins and shelves can become easily contaminated by food.
sentence_list_t1n1l4 	 talks_about 	 Do not apply excessive force while detaching or assembling the storage bins.
sentence_list_t1n1l4 	 talks_about 	 Do not use the dishwasher to clean the storage bins and shelves.
Regularly detach and wash the storage bins and shelves; the storage bins and shelves can become easily contaminated by food. 	 talks_about 	 Regularly detach and wash the storage bins and shelves
Regularly detach and wash the storage bins and shelves; the storage bins and shelves can become easily contaminated by food. 	 talks_about 	 the storage bins and shelves can become easily contaminated by food
Do not apply excessive force while detaching or assembling the storage bins. 	 talks_about 	 detaching or assembling the storage bins
Do not apply excessive force while detaching or assembling the storage bins. 	 talks_about 	 Do not apply excessive force
Do not apply excessive force 	 Synchronous 	 detaching or assembling the storage bins
detaching or assembling the storage bins 	 Synchronous 	 Do not apply excessive force
Do not use the dishwasher to clean the storage bins and shelves. 	 paraphrase 	 the dishwasher should not be used to clean the storage bins and shelves
the dishwasher should not be used to clean the storage bins and shelves 	 talks_about 	 the dishwasher
the dishwasher should not be used to clean the storage bins and shelves 	 talks_about 	 to clean the storage bins and shelves
the dishwasher 	 should_not_be_used 	 to clean the storage bins and shelves
Do not apply excessive force 	 paraphrase 	 excessive force should not be applied
the dishwasher should not be used to clean the storage bins and shelves 	 talks_about 	 clean the storage shelves
the dishwasher should not be used to clean the storage bins and shelves 	 talks_about 	 clean the storage bins
the dishwasher 	 should_not_be_used_to 	 clean the storage shelves
the dishwasher 	 should_not_be_used_to 	 clean the storage bins
clean the storage shelves 	 should_not_be_used_to_reverse 	 the dishwasher
clean the storage bins 	 should_not_be_used_to_reverse 	 the dishwasher
the storage bins and shelves can become easily contaminated by food 	 talks_about 	 food
the storage bins and shelves can become easily contaminated by food 	 talks_about 	 shelves
the storage bins and shelves can become easily contaminated by food 	 talks_about 	 the storage bins
food 	 can_become_easily_contaminated_by_reverse 	 shelves
shelves 	 can_become_easily_contaminated_by 	 food
food 	 can_become_easily_contaminated_by_reverse 	 the storage bins
the storage bins 	 can_become_easily_contaminated_by 	 food
sentence_list_ukhbo7 	 talks_about 	 The Durabase divider allows you to organize the Durabase area into 2 sections.
sentence_list_ukhbo7 	 talks_about 	 The Durabase divider can be adjusted from side to side to accommodate items of different sizes.
The Durabase divider allows you to organize the Durabase area into 2 sections. 	 talks_about 	 The Durabase divider
The Durabase divider allows you to organize the Durabase area into 2 sections. 	 talks_about 	 you to organize the Durabase area into 2 sections
The Durabase divider 	 allows 	 you to organize the Durabase area into 2 sections
you to organize the Durabase area into 2 sections 	 allows_reverse 	 The Durabase divider
The Durabase divider can be adjusted from side to side to accommodate items of different sizes. 	 talks_about 	 side
The Durabase divider can be adjusted from side to side to accommodate items of different sizes. 	 talks_about 	 The Durabase divider
The Durabase divider can be adjusted from side to side to accommodate items of different sizes. 	 talks_about 	 accommodate items of different sizes
side 	 can_be_adjusted_to_reverse 	 The Durabase divider
accommodate items of different sizes 	 can_be_adjusted_to_reverse 	 The Durabase divider
The Durabase divider 	 can_be_adjusted_to 	 side
The Durabase divider 	 can_be_adjusted_to 	 accommodate items of different sizes
sentence_list_k75wd2 	 talks_about 	 If the Durabase divider is removed, there is enough open space for children or pets to crawl inside.
sentence_list_k75wd2 	 talks_about 	 To prevent accidental child and pet entrapment or suffocation risk, DO NOT allow children or pets to touch or go near the drawer.
To prevent accidental child and pet entrapment or suffocation risk, DO NOT allow children or pets to touch or go near the drawer. 	 talks_about 	 accidental child and pet entrapment or suffocation risk
To prevent accidental child and pet entrapment or suffocation risk, DO NOT allow children or pets to touch or go near the drawer. 	 talks_about 	 DO NOT allow children or pets to touch or go near the drawer
accidental child and pet entrapment or suffocation risk 	 should_be_prevented_by 	 DO NOT allow children or pets to touch or go near the drawer
If the Durabase divider is removed, there is enough open space for children or pets to crawl inside. 	 talks_about 	 the Durabase divider is removed
If the Durabase divider is removed, there is enough open space for children or pets to crawl inside. 	 talks_about 	 there is enough open space for children or pets to crawl inside
there is enough open space for children or pets to crawl inside 	 Condition 	 the Durabase divider is removed
the Durabase divider is removed 	 Follows 	 there is enough open space for children or pets to crawl inside
there is enough open space for children or pets to crawl inside 	 talks_about 	 for children or pets to crawl inside
there is enough open space for children or pets to crawl inside 	 talks_about 	 there is enough open space
for children or pets to crawl inside 	 talks_about 	 children or pets
for children or pets to crawl inside 	 talks_about 	 inside
children or pets 	 to_crawl 	 inside
inside 	 to_crawl_reverse 	 children or pets
Freezer 	 description 	 sentence_list_b9ygjh
Refrigerator 	 description 	 sentence_list_lw72qr
Vacation 	 description 	 sentence_list_q7t4r2
Express Frz 	 have_features 	 This function increases freezing capability
This function increases freezing capability 	 description 	 sentence_list_fui4jz
Control Panel Features 	 have_features 	 Vacation
Control Panel Features 	 have_features 	 Express Frz
Display Mode (For Store Use Only) 	 deactivate 	 sentence_list_0d8fgb
Display Mode (For Store Use Only) 	 activate 	 sentence_list_0d8fgb
Sabbath Mode 	 Using.description 	 sentence_list_3l6npk
Sabbath mode is used on the Jewish Sabbath and holidays 	 description 	 sentence_list_emsguf
Frozen Food 	 Storing.description 	 sentence_list_s7tkio
Folding Shelf 	 Using.description 	 sentence_list_c4rynj
Full Width Shelf 	 Detaching.caution 	 sentence_list_8tlgv0
Full Width Shelf 	 Detaching.procedure.steps 	 sentence_list_6msmuu
Full Width Shelf 	 Assembling.caution 	 sentence_list_8tlgv0
Full Width Shelf 	 Assembling.procedure.steps 	 sentence_list_6msmuu
Refrigerator Shelves 	 have_features 	 Full Width Shelf
Crisper Drawers 	 Removing.caution 	 sentence_list_n9c3m7
Crisper Drawers 	 Removing.procedure.steps 	 sentence_list_s2rbcd
Crisper Drawers 	 Assembling.procedure.steps 	 sentence_list_ow1srr
Door Bins 	 Detaching.description 	 sentence_list_eb2gxt
Door Bins 	 Detaching.procedure.steps 	 sentence_list_bpcqoq
Door Bins 	 Detaching.caution 	 sentence_list_t1n1l4
Door Bins 	 Assembling.description 	 sentence_list_eb2gxt
Door Bins 	 Assembling.procedure.steps 	 sentence_list_bpcqoq
Door Bins 	 Assembling.caution 	 sentence_list_t1n1l4
REFRIGERATOR 	 OPERATION 	 Crisper Drawers
sentence_list_b9ygjh 	 talks_about 	 Indicates the set temperature of the freezer compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_b9ygjh 	 talks_about 	 The default freezer temperature is 0 ° F ( -18 ° C ).
sentence_list_b9ygjh 	 talks_about 	 Press the Freezer button repeatedly to select a new set temperature from-7 ° F to 5 ° F ( -23 ° C to-15 ° C ).
Press the Freezer button repeatedly to select a new set temperature from-7 ° F to 5 ° F ( -23 ° C to-15 ° C ). 	 paraphrase 	 the Freezer button should be pressed repeatedly to select a new set temperature from-7 ° F to 5 ° F -23 ° C to-15 ° C
the Freezer button should be pressed repeatedly to select a new set temperature from-7 ° F to 5 ° F -23 ° C to-15 ° C 	 talks_about 	 the Freezer button
the Freezer button should be pressed repeatedly to select a new set temperature from-7 ° F to 5 ° F -23 ° C to-15 ° C 	 talks_about 	 repeatedly to select a new set temperature from-7 ° F to 5 ° F -23 ° C to-15 ° C
the Freezer button 	 should_be_pressed 	 repeatedly to select a new set temperature from-7 ° F to 5 ° F -23 ° C to-15 ° C
sentence_list_lw72qr 	 talks_about 	 Indicates the set temperature of the refrigerator compartment in Celsius ( ° C ) or Fahrenheit ( ° F ).
sentence_list_lw72qr 	 talks_about 	 The default refrigerator temperature is 37 ° F ( 3 ° C ).
sentence_list_lw72qr 	 talks_about 	 Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 43 ° F ( 1 ° C to 7 ° C ).
sentence_list_lw72qr 	 talks_about 	 To change the temperature mode from ° F to ° C ( or vice versa ) press and hold the Refrigerator and Freezer buttons simultaneously for approximately five seconds.
sentence_list_lw72qr 	 talks_about 	 The temperature indicator on the display window switches between Celsius and Fahrenheit.
sentence_list_lw72qr 	 talks_about 	 The displayed temperature is the target temperature, and not the actual temperature of the refrigerator.
sentence_list_lw72qr 	 talks_about 	 the actual temperature of the refrigerator depends on the food inside the refrigerator.
Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 43 ° F ( 1 ° C to 7 ° C ). 	 paraphrase 	 the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 43 ° F 1 ° C to 7 ° C
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 43 ° F 1 ° C to 7 ° C 	 talks_about 	 the Refrigerator button
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 43 ° F 1 ° C to 7 ° C 	 talks_about 	 repeatedly to select a new set temperature from 33 ° F to 43 ° F 1 ° C to 7 ° C
the Refrigerator button 	 should_be_pressed 	 repeatedly to select a new set temperature from 33 ° F to 43 ° F 1 ° C to 7 ° C
sentence_list_q7t4r2 	 talks_about 	 Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days.
sentence_list_q7t4r2 	 talks_about 	 Press the Vacation button to turn this power saving mode off or on.
sentence_list_q7t4r2 	 talks_about 	 The LED stays lit when this power saving mode is on.
sentence_list_q7t4r2 	 talks_about 	 When this power saving mode is on, the other buttons on the control panel are locked.
sentence_list_q7t4r2 	 talks_about 	 When you return home, remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings.
Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days. 	 talks_about 	 you are away from home for a few days
Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days. 	 talks_about 	 Set the refrigerator to this power saving mode to reduce energy consumption
Set the refrigerator to this power saving mode to reduce energy consumption 	 Synchronous 	 you are away from home for a few days
you are away from home for a few days 	 Synchronous 	 Set the refrigerator to this power saving mode to reduce energy consumption
Press the Vacation button to turn this power saving mode off or on. 	 paraphrase 	 the Vacation button should be pressed to turn this power saving mode off or on
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 the Vacation button
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 to turn this power saving mode off or on
the Vacation button 	 should_be_pressed 	 to turn this power saving mode off or on
The LED stays lit when this power saving mode is on. 	 talks_about 	 this power saving mode is on
The LED stays lit when this power saving mode is on. 	 talks_about 	 The LED stays lit
The LED stays lit 	 Synchronous 	 this power saving mode is on
this power saving mode is on 	 Synchronous 	 The LED stays lit
When this power saving mode is on, the other buttons on the control panel are locked. 	 talks_about 	 this power saving mode is on
When this power saving mode is on, the other buttons on the control panel are locked. 	 talks_about 	 the other buttons on the control panel are locked
the other buttons on the control panel are locked 	 Synchronous 	 this power saving mode is on
this power saving mode is on 	 Synchronous 	 the other buttons on the control panel are locked
When you return home, remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings. 	 talks_about 	 you return home
When you return home, remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings. 	 talks_about 	 remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings
remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings 	 Synchronous 	 you return home
you return home 	 Synchronous 	 remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings
Set the refrigerator to this power saving mode to reduce energy consumption 	 paraphrase 	 the refrigerator should be set to this power saving mode to reduce energy consumption
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 the refrigerator
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 to this power saving mode to reduce energy consumption
the refrigerator 	 should_be_set 	 to this power saving mode to reduce energy consumption
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 turn this power saving mode off
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 this power saving mode
turn this power saving mode off 	 should_be_pressed_to_reverse 	 the Vacation button
the Vacation button 	 should_be_pressed_to 	 turn this power saving mode off
the Vacation button 	 to_turn_off 	 this power saving mode
this power saving mode 	 to_turn_off_reverse 	 the Vacation button
you are away from home for a few days 	 talks_about 	 a few days
you are away from home for a few days 	 talks_about 	 away from home
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 this power saving mode
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 reduce energy consumption
the refrigerator 	 should_be_set_to 	 this power saving mode
this power saving mode 	 should_be_set_to_reverse 	 the refrigerator
the refrigerator 	 should_be_set_to_this_power_saving_mode_to 	 reduce energy consumption
reduce energy consumption 	 should_be_set_to_this_power_saving_mode_to_reverse 	 the refrigerator
The LED stays lit 	 talks_about 	 lit
The LED stays lit 	 talks_about 	 The LED
lit 	 stays_reverse 	 The LED
The LED 	 stays 	 lit
you return home 	 talks_about 	 home
sentence_list_fui4jz 	 talks_about 	 button until the LED lights up on the control panel.
sentence_list_fui4jz 	 talks_about 	 This function operates for about 24 hours, then turns off automatically.
sentence_list_fui4jz 	 talks_about 	 To deactivate This function manually, press and hold the Express Frz.
To deactivate This function manually, press and hold the Express Frz. 	 talks_about 	 This function
To deactivate This function manually, press and hold the Express Frz. 	 talks_about 	 manually press and hold the Express Frz
This function 	 should_be_deactivated_by 	 manually press and hold the Express Frz
sentence_list_fui4jz 	 talks_about 	 button.
button until the LED lights up on the control panel. 	 talks_about 	 the LED lights up on the control panel
button until the LED lights up on the control panel. 	 talks_about 	 button
button 	 succeded_by 	 the LED lights up on the control panel
the LED lights up on the control panel 	 preceded_by 	 button
This function operates for about 24 hours, then turns off automatically. 	 talks_about 	 This function
This function operates for about 24 hours, then turns off automatically. 	 talks_about 	 about 24 hours
about 24 hours 	 operates_for_reverse 	 This function
This function 	 operates_for 	 about 24 hours
the LED lights up on the control panel 	 talks_about 	 the control panel
the LED lights up on the control panel 	 talks_about 	 the LED
the control panel 	 lights_up_on_reverse 	 the LED
the LED 	 lights_up_on 	 the control panel
sentence_list_0d8fgb 	 talks_about 	 With either refrigerator door opened, press the Express Frz.
sentence_list_0d8fgb 	 talks_about 	 button 3 times consecutively while pressing the Refrigerator button.
sentence_list_0d8fgb 	 talks_about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
sentence_list_0d8fgb 	 talks_about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
With either refrigerator door opened, press the Express Frz. 	 talks_about 	 With either refrigerator door opened
With either refrigerator door opened, press the Express Frz. 	 talks_about 	 press the Express Frz
button 3 times consecutively while pressing the Refrigerator button. 	 talks_about 	 pressing the Refrigerator button
button 3 times consecutively while pressing the Refrigerator button. 	 talks_about 	 button 3 times consecutively
button 3 times consecutively 	 Synchronous 	 pressing the Refrigerator button
pressing the Refrigerator button 	 Synchronous 	 button 3 times consecutively
press the Express Frz 	 paraphrase 	 the Express Frz should be pressed
button 3 times consecutively 	 talks_about 	 3 times
button 3 times consecutively 	 talks_about 	 button
3 times 	 has_consecutively_of_reverse 	 button
button 	 has_consecutively_of 	 3 times
sentence_list_3l6npk 	 talks_about 	 Sabbath Mode automatically turns off after 96 hours.
sentence_list_3l6npk 	 talks_about 	 Once turned on, Sabbath Mode is maintained even after a power outage.
sentence_list_3l6npk 	 talks_about 	 Selecting Sabbath Mode automatically turns off the Alarm functions.
Selecting Sabbath Mode automatically turns off the Alarm functions. 	 talks_about 	 Selecting Sabbath Mode
Selecting Sabbath Mode automatically turns off the Alarm functions. 	 talks_about 	 the Alarm functions
Selecting Sabbath Mode 	 automatically_turns_off 	 the Alarm functions
the Alarm functions 	 automatically_turns_off_reverse 	 Selecting Sabbath Mode
sentence_list_emsguf 	 talks_about 	 To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display.
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display. 	 talks_about 	 Sabbath mode
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display. 	 talks_about 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display
Sabbath mode 	 should_be_turned_by 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display
sentence_list_emsguf 	 talks_about 	 To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds.
To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds. 	 talks_about 	 Sabbath mode
To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds. 	 talks_about 	 off manually press and hold the Freezer and Vacation buttons for 3 seconds
Sabbath mode 	 should_be_turned_by 	 off manually press and hold the Freezer and Vacation buttons for 3 seconds
sentence_list_s7tkio 	 talks_about 	 Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.
sentence_list_s7tkio 	 talks_about 	 Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze.
sentence_list_s7tkio 	 talks_about 	 Cooling hot foods before freezing saves energy.
sentence_list_s7tkio 	 talks_about 	 If you are leaving home for a short period, like a short vacation, the refrigerator should be left on.
sentence_list_s7tkio 	 talks_about 	 Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.
sentence_list_s7tkio 	 talks_about 	 If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord.
sentence_list_s7tkio 	 talks_about 	 Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.
sentence_list_s7tkio 	 talks_about 	 Do not store food with high moisture content towards the top of the refrigerator.
sentence_list_s7tkio 	 talks_about 	 food with high moisture content could come in direct contact with the cold air and freeze.
sentence_list_s7tkio 	 talks_about 	 Wash food before storing food in the refrigerator.
sentence_list_s7tkio 	 talks_about 	 Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.
sentence_list_s7tkio 	 talks_about 	 If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form.
sentence_list_s7tkio 	 talks_about 	 Wipe off condensation with a clean cloth or a paper towel.
sentence_list_s7tkio 	 talks_about 	 If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature.
sentence_list_s7tkio 	 talks_about 	 This can increase the running costs of the refrigerator.
If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature. 	 talks_about 	 the refrigerator door or freezer drawer is opened or closed too often
If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature. 	 talks_about 	 warm air may penetrate the refrigerator and raise the refrigerator temperature
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 Condition 	 the refrigerator door or freezer drawer is opened or closed too often
the refrigerator door or freezer drawer is opened or closed too often 	 Follows 	 warm air may penetrate the refrigerator and raise the refrigerator temperature
the refrigerator door or freezer drawer is opened or closed too often 	 talks_about 	 the refrigerator door or freezer drawer
the refrigerator door or freezer drawer is opened or closed too often 	 talks_about 	 too often
the refrigerator door or freezer drawer 	 closed 	 too often
too often 	 closed_reverse 	 the refrigerator door or freezer drawer
sentence_list_c4rynj 	 talks_about 	 Store taller items, such as gallon containers or bottles, by pushing the front half of the shelf underneath the back half of the shelf.
sentence_list_c4rynj 	 talks_about 	 Pull the front half of the shelf forward to return to a full shelf.
Store taller items, such as gallon containers or bottles, by pushing the front half of the shelf underneath the back half of the shelf. 	 paraphrase 	 taller items, such as gallon containers or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf
taller items, such as gallon containers or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks_about 	 taller items, such as gallon containers or bottles,
taller items, such as gallon containers or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks_about 	 by pushing the front half of the shelf underneath the back half of the shelf
taller items, such as gallon containers or bottles, 	 should_be_stored 	 by pushing the front half of the shelf underneath the back half of the shelf
taller items, such as gallon containers or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks_about 	 taller items, such as gallon containers or bottles
taller items, such as gallon containers or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks_about 	 pushing the front half of the shelf underneath the back half of the shelf
taller items, such as gallon containers or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks_about 	 the back half of the shelf
taller items, such as gallon containers or bottles, should be stored by pushing the front half of the shelf underneath the back half of the shelf 	 talks_about 	 the front half of the shelf
